ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
5008856,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008857,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008858,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008859,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008860,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008861,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,0
5008862,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,0
5008863,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008864,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008865,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008866,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008867,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,0
5112846,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
6153736,F,1,1,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,1
5008868,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3,0
5008870,F,0,1,1,211500,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3,1
5008872,M,1,1,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2,0
6153737,M,1,1,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2,1
5008873,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,1
5008874,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,0
5008875,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,1
5008876,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,1
5008877,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,0
5008878,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,1
5008879,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,0
5008880,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,1
5008881,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,1
5008882,F,0,1,2,126000,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4,0
5008884,F,0,1,0,315000,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,,1,0
5008888,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,0
5008889,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,1
5008890,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,1
5112847,F,0,1,0,247500,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1,0
5008891,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008892,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008893,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008894,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008895,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008896,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008897,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008898,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008899,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008900,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008901,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008902,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008903,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008904,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008905,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008906,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008907,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008908,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008909,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008910,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008911,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008912,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008913,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008914,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008915,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008916,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008917,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008918,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008919,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008920,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008921,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008922,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008923,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008924,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008925,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008926,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008927,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008928,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008929,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008930,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008931,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008932,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008933,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008934,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008935,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008936,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008937,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008938,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
5008939,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008940,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008941,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,0
6153773,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
6153774,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
6153775,F,0,1,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,1
5008942,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,0
5008943,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,0
5008944,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,0
5008945,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,1
5008946,F,0,0,0,157500,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2,0
5008947,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,1
5008948,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,1
5008949,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,1
5008950,M,0,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2,1
5008951,M,0,1,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3,1
5008952,M,0,1,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3,1
5008953,M,0,1,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3,0
5008954,M,0,1,1,225000,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,,3,1
5008955,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,0
5008956,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,1
5008957,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,1
5008958,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,1
5008959,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,0
5008960,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,0
5008962,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,1
5008963,F,1,1,0,135000,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,1,0,0,0,Laborers,2,0
5008966,M,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2,1
5008967,M,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2,1
5008971,M,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2,1
5008973,M,0,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,1,0,1,0,,2,1
5008974,F,0,1,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2,0
5008975,F,0,1,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2,1
5008976,F,0,1,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2,1
5008977,F,0,1,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2,1
5008978,F,0,1,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2,1
5008979,F,0,1,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2,1
5008980,F,0,1,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,1,0,0,0,,2,1
5008981,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2,1
5008983,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2,1
5008984,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2,0
5008986,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2,0
5008987,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2,0
5008988,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2,0
6153800,M,1,1,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2,1
5008991,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1,0
5008992,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1,1
5008993,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1,0
5008994,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1,1
5008995,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1,0
5112861,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1,1
6153801,F,1,1,0,270000,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,1,1,1,0,Cleaning staff,1,0
5008998,F,1,1,0,270000,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,Managers,2,0
5008999,F,1,1,0,270000,Working,Higher education,Married,House / apartment,-10628,-828,1,0,0,1,Managers,2,1
5009000,M,1,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,Drivers,2,1
6153549,M,1,1,0,157500,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,1,0,0,0,Drivers,2,1
5009001,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,1
5009002,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
5009005,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,1
5009006,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,1
5009007,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,1
5009008,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
5009009,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
5009010,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
5009012,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,1
5009014,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
6153574,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
6153575,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
6153576,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
6153578,M,0,1,0,166500,Working,Secondary / secondary special,Married,House / apartment,-18926,-6276,1,1,1,0,Laborers,2,0
5009016,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,1
5009018,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,1
5009019,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,1
5009020,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,0
5009022,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,1
5009023,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,1
5009024,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,0
5009025,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,0
6153579,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,0
6153580,F,0,1,2,216000,State servant,Higher education,Married,House / apartment,-15444,-3112,1,0,0,1,,4,1
5009027,F,1,1,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,1,0,0,1,Laborers,2,0
5112862,F,1,1,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19861,-10843,1,0,0,1,Laborers,2,1
5009028,F,1,1,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450,-2777,1,0,0,0,Laborers,2,0
